"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
Tue Mar 28 18:29:40 +0000 2017,846791416172941300,"RT @mefeater: Malia Obama out in NYC https://t.co/FBtOq0te0H",undefined,DaddyLi,FilthyAli,"Richmond, VA",5629,1527,Tue Jun 29 20:35:08 +0000 2010,Quito,000000,http://pbs.twimg.com/profile_images/813190089689927680/jDxyiWEd_normal.jpg,null,null,null
Tue Mar 28 18:29:42 +0000 2017,846791424066699300,"RT @BTS_twt: Bye NYC 🤚 #김데일리 https://t.co/IXVcjY84Gw",undefined,Ailen..Alien,aldanaailen17,"Buenos Aires, Argentina",20,102,Thu Nov 03 14:58:03 +0000 2016,null,F5F8FA,http://pbs.twimg.com/profile_images/842200190815744004/MGv4JDh__normal.jpg,null,null,null
Tue Mar 28 18:29:42 +0000 2017,846791424909742100,"RT @hermitage200: Kismet at the Astor Movie Theater, NYC, 1944 by Andreas Feininger. https://t.co/WjlKm2UK8q",undefined,Zoë Watson,ZoeWatsonArtist,"Cheshire",5657,3352,Fri Jan 29 17:17:28 +0000 2010,Dublin,642D8B,http://pbs.twimg.com/profile_images/842376832901099522/qrj_eQkR_normal.jpg,null,null,null
Tue Mar 28 18:29:42 +0000 2017,846791423559118800,"happy birthday to my favorite person to share a name with. love you and miss you SO much hope you're loving NYC💕💕… https://t.co/bxvyf09Kdu",undefined,Kassie Clements,kassieclements,"kent",785,661,Sat Jul 09 13:50:09 +0000 2011,Central Time (US & Canada),00ACFC,http://pbs.twimg.com/profile_images/839359156037517312/NMehzwIH_normal.jpg,null,null,null
Tue Mar 28 18:29:43 +0000 2017,846791426675486700,"RT @pjbowles: @SenSchumer Trump is NOT a liar! U R a fool. No one cares WHAT U have to say &amp; U R going to get your karma soon eno…",undefined,Ross Fairchild,RossFairchild,"Texas, USA",3456,3937,Fri Nov 02 19:31:06 +0000 2012,Central Time (US & Canada),C0DEED,http://pbs.twimg.com/profile_images/443605543014236160/6Wgfoq6k_normal.jpeg,null,null,null
Tue Mar 28 18:30:17 +0000 2017,846791568552083500,".Schumer makes loud scene; interrupts meal to Trump-shame patron at posh NYC restaurant, witness says https://t.co/NEVl4NETMZ",undefined,Ruski водка Barbie,LGKITTEN,"Bowels Of The Earth",3691,3093,Tue Aug 16 18:50:09 +0000 2011,Eastern Time (US & Canada),FFCC4D,http://pbs.twimg.com/profile_images/755899192493629441/lsBmKtE6_normal.jpg,null,null,null
Tue Mar 28 18:30:17 +0000 2017,846791568606593000,"@CMad_18 what's this giraffe have on a stroll in NYC?",undefined,mike,mwalshhh69,"Texas, USA",1186,1059,Wed Aug 13 06:09:44 +0000 2014,null,C0DEED,http://pbs.twimg.com/profile_images/833738529675034626/SOLkxPWX_normal.jpg,null,null,null
Tue Mar 28 18:30:17 +0000 2017,846791569197948900,"Trendy #NYC coffee chain set to open its first #NJ location https://t.co/g4KqqP7MQj https://t.co/gNjDM7SIsi",undefined,NJ.com,njdotcom,"New Jersey",390938,641,Wed Mar 19 21:02:53 +0000 2008,Eastern Time (US & Canada),293546,http://pbs.twimg.com/profile_images/694234642002616320/yqse2zqz_normal.jpg,null,null,null
Tue Mar 28 18:30:18 +0000 2017,846791575434924000,"RT @PrisonPlanet: Chuck Schumer began yelling at a man and his wife having a quiet dinner because they voted for Trump. Unhinged. https://t…",undefined,AJS,NoFilterOnMe1,"Everywhere-#MAGA45",521,837,Fri Dec 16 09:33:56 +0000 2016,null,F5F8FA,http://pbs.twimg.com/profile_images/810936651841204224/nz-OxH3y_normal.jpg,null,null,null
Tue Mar 28 18:30:18 +0000 2017,846791575912902700,".@SenFeinstein A message to Dianne Feinstein from a constituent. Please add more phone lines! #Ω https://t.co/dnb8K188WK",undefined,Vanessa Warheit,vwarheit,"San Francisco Bay Area, CA",1188,2314,Mon Jan 05 04:58:35 +0000 2009,Pacific Time (US & Canada),C0DEED,http://pbs.twimg.com/profile_images/378800000386369770/cc55bf8f0d94a8e6a15f1556f240b6da_normal.jpeg,null,null,null
Tue Mar 28 18:30:20 +0000 2017,846791582514892800,"RT @Fabio_LaFlare: They look baked lol https://t.co/pKyXYfSJtP",undefined,Parry 👽,Parrisssss_,"null",2426,1006,Sun Jan 24 01:35:01 +0000 2010,Central Time (US & Canada),000000,http://pbs.twimg.com/profile_images/843582755191635968/3HMhAl8g_normal.jpg,null,null,null
Tue Mar 28 18:30:20 +0000 2017,846791583194337300,"'NowPlaying' Thats How You Know (Dirty) by Nico &amp; Vinz ft Kid Ink #listen at https://t.co/Y9tPvAgwlk https://t.co/HXTCPBY4lb",undefined,WNJRadioNYC,WNJRadioNYC,"null",516,873,Sat Nov 14 01:05:29 +0000 2015,Eastern Time (US & Canada),022330,http://pbs.twimg.com/profile_images/667663177786617856/QWsa_vje_normal.jpg,null,null,null
Tue Mar 28 18:30:21 +0000 2017,846791585291419600,"$25 museum admission fee in NYC museums is a joke #NYC",undefined,Tigran Karapetyan,tigran_kara,"London",115,179,Sun Apr 03 10:18:32 +0000 2011,London,59472F,http://pbs.twimg.com/profile_images/788179714762502144/KGBYlpCE_normal.jpg,null,null,null
Tue Mar 28 18:30:21 +0000 2017,846791585794838500,"RT @ilkerkarli: HalkBank Gnl.Md.Yrd. ABD'de gözaltına alınmış.
Bharara ayrılınca bayram yapmışlardı ama...
Reza'cığım yalnızlıktan…",undefined,Mahmut Pekmezci,mahmut_pekmezci,"null",743,3340,Fri Apr 01 08:58:31 +0000 2016,null,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,null,null,null
Tue Mar 28 18:30:46 +0000 2017,846791691096993800,"RT @binarybits: As usual, Ars has excellent in-depth coverage of today's vote on ISP privacy. https://t.co/KpqrKQAvZz",undefined,Jonathan Tappan,JonathanTappan,"null",9,32,Sat Sep 27 02:11:09 +0000 2008,Eastern Time (US & Canada),C0DEED,http://pbs.twimg.com/profile_images/1160514148/twittericon_normal.png,null,null,null
